Sexo,Edad,CFR
Hombre,00-04,0.00044048982468504976
Hombre,05-09,0.0001737147820422344
Hombre,10-14,0.0001371553970648745
Hombre,15-19,0.00026911635281881194
Hombre,20-24,0.0003337024284435815
Hombre,25-29,0.0005853143482352581
Hombre,30-34,0.0010674574838606258
Hombre,35-39,0.001792919948547162
Hombre,40-44,0.0030742522333538284
Hombre,45-49,0.005344852833504173
Hombre,50-54,0.009593942524536051
Hombre,55-59,0.015697010280852405
Hombre,60-64,0.02654671846248211
Hombre,65-69,0.04356773695657258
Hombre,70-74,0.07604981079233834
Hombre,75-79,0.11658611340327714
Hombre,80+,0.22938864805736742
Mujer,00-04,0.0005295724399353364
Mujer,05-09,0.0001399367952141616
Mujer,10-14,0.00014545807171082936
Mujer,15-19,0.0002181582457583804
Mujer,20-24,0.0002644475817974758
Mujer,25-29,0.00036773801006933533
Mujer,30-34,0.0005873906800678763
Mujer,35-39,0.0008024311279718752
Mujer,40-44,0.0015365591984434382
Mujer,45-49,0.0025479879177628373
Mujer,50-54,0.004414321782524669
Mujer,55-59,0.007917972087724295
Mujer,60-64,0.014333711493149489
Mujer,65-69,0.024953875014172483
Mujer,70-74,0.044871046796592366
Mujer,75-79,0.0736031984007996
Mujer,80+,0.17344012121868066
Hombre,General,0.014077810029017904
Mujer,General,0.010082988624329861
General,General,0.011960297900816534
General,00-04,0.00048276272542704664
General,05-09,0.000157428960181718
General,10-14,0.00014130338239925068
General,15-19,0.00024167480640841028
General,20-24,0.0002961372596198338
General,25-29,0.00046920381642891293
General,30-34,0.000814220104523139
General,35-39,0.0012720918914063822
General,40-44,0.0022562663990423563
General,45-49,0.003845209422852874
General,50-54,0.006801062393869465
General,55-59,0.011531939293382783
General,60-64,0.020082145482960778
General,65-69,0.033674626522260755
General,70-74,0.05942165412831903
General,75-79,0.09332540025962786
General,80+,0.19584367547573855
