Fecha,agerange,Porcentaje de la población
2020-12-24,<=39,
2020-12-25,<=39,
2020-12-26,<=39,
2020-12-27,<=39,
2020-12-28,<=39,
2020-12-29,<=39,
2020-12-30,<=39,
2020-12-31,<=39,
2021-01-01,<=39,
2021-01-02,<=39,
2021-01-03,<=39,
2021-01-04,<=39,
2021-01-05,<=39,
2021-01-06,<=39,
2021-01-07,<=39,
2021-01-08,<=39,
2021-01-09,<=39,
2021-01-10,<=39,
2021-01-11,<=39,
2021-01-12,<=39,
2021-01-13,<=39,
2021-01-14,<=39,
2021-01-15,<=39,
2021-01-16,<=39,
2021-01-17,<=39,
2021-01-18,<=39,
2021-01-19,<=39,
2021-01-20,<=39,
2021-01-21,<=39,0.0
2021-01-22,<=39,0.0
2021-01-23,<=39,0.0
2021-01-24,<=39,0.0
2021-01-25,<=39,0.0
2021-01-26,<=39,0.0
2021-01-27,<=39,0.0063468994723736415
2021-01-28,<=39,0.036799466573578805
2021-01-29,<=39,0.05260396342357136
2021-01-30,<=39,0.05301633259833011
2021-01-31,<=39,0.05301633259833011
2021-02-01,<=39,0.05301633259833011
2021-02-02,<=39,0.05302529714560747
2021-02-03,<=39,0.05302529714560747
2021-02-04,<=39,0.05302529714560747
2021-02-05,<=39,0.05303426169288483
2021-02-06,<=39,0.05303426169288483
2021-02-07,<=39,0.05303426169288483
2021-02-08,<=39,0.06226774538856965
2021-02-09,<=39,0.06596113886684357
2021-02-10,<=39,0.06620318164333239
2021-02-11,<=39,0.06620318164333239
2021-02-12,<=39,0.06621214619060976
2021-02-13,<=39,0.06621214619060976
2021-02-14,<=39,0.06621214619060976
2021-02-15,<=39,0.06621214619060976
2021-02-16,<=39,0.06624800437971923
2021-02-17,<=39,0.06624800437971923
2021-02-18,<=39,0.07869976054797767
2021-02-19,<=39,0.08314617599755017
2021-02-20,<=39,0.08315514054482753
2021-02-21,<=39,0.08317306963938226
2021-02-22,<=39,0.14823775377848944
2021-02-23,<=39,0.2551310155137766
2021-02-24,<=39,0.3007874547973909
2021-02-25,<=39,0.31556102871048664
2021-02-26,<=39,0.3167084907619892
2021-02-27,<=39,0.31692363989664596
2021-02-28,<=39,0.31692363989664596
2021-03-01,<=39,0.31692363989664596
2021-03-02,<=39,0.31694156899120063
2021-03-03,<=39,0.31694156899120063
2021-03-04,<=39,0.316950533538478
2021-03-05,<=39,0.3169684626330328
2021-03-06,<=39,0.3169684626330328
2021-03-07,<=39,0.3169684626330328
2021-03-08,<=39,0.31707603720036115
2021-03-09,<=39,0.3173270445241273
2021-03-10,<=39,0.3182952156300826
2021-03-11,<=39,0.31903030850682645
2021-03-12,<=39,0.3197026495526287
2021-03-13,<=39,0.3197385077417382
2021-03-14,<=39,0.3197385077417382
2021-03-15,<=39,0.32214997095934905
2021-03-16,<=39,0.3866947113563692
2021-03-17,<=39,0.9148858369386501
2021-03-18,<=39,1.353431489747292
2021-03-19,<=39,1.7335193297602443
2021-03-20,<=39,1.773599820637338
2021-03-21,<=39,1.7796688191441135
2021-03-22,<=39,2.0558037689287536
2021-03-23,<=39,2.372019209590488
2021-03-24,<=39,2.7092565136176403
2021-03-25,<=39,3.041760536682345
2021-03-26,<=39,3.3300065898387037
2021-03-27,<=39,3.379212989844154
2021-03-28,<=39,3.384017987184821
2021-03-29,<=39,3.6656213108086533
2021-03-30,<=39,3.973822446204424
2021-03-31,<=39,4.248424458404635
2021-04-01,<=39,4.5001130877639035
2021-04-02,<=39,4.7062080296705
2021-04-03,<=39,4.731084648365185
2021-04-04,<=39,4.7329582387461535
2021-04-05,<=39,4.9256870406622
2021-04-06,<=39,5.0743999154463895
2021-04-07,<=39,5.155125663679052
2021-04-08,<=39,5.219813836832509
2021-04-09,<=39,5.307164385503143
2021-04-10,<=39,5.312175567431191
2021-04-11,<=39,5.313376816766357
2021-04-12,<=39,5.531645613875613
2021-04-13,<=39,5.8777219615182466
2021-04-14,<=39,6.250682986445693
2021-04-15,<=39,6.562685089887068
2021-04-16,<=39,6.569139563926769
2021-04-17,<=39,6.57090557974041
2021-04-18,<=39,6.571515168955271
2021-04-19,<=39,6.78661051632834
2021-04-20,<=39,6.911038432538151
2021-04-21,<=39,7.022189854230186
2021-04-22,<=39,7.141741056721111
2021-04-23,<=39,7.2576167948283175
2021-04-24,<=39,7.26845493248665
2021-04-25,<=39,7.269808579125532
2021-04-26,<=39,7.469475940634259
2021-04-27,<=39,7.939729197162936
2021-04-28,<=39,8.549945930333097
