Fecha,agerange,Población
2020-12-24,<=39,
2020-12-25,<=39,
2020-12-26,<=39,
2020-12-27,<=39,
2020-12-28,<=39,
2020-12-29,<=39,
2020-12-30,<=39,
2020-12-31,<=39,
2021-01-01,<=39,
2021-01-02,<=39,
2021-01-03,<=39,
2021-01-04,<=39,
2021-01-05,<=39,
2021-01-06,<=39,
2021-01-07,<=39,
2021-01-08,<=39,
2021-01-09,<=39,
2021-01-10,<=39,
2021-01-11,<=39,
2021-01-12,<=39,
2021-01-13,<=39,
2021-01-14,<=39,
2021-01-15,<=39,
2021-01-16,<=39,
2021-01-17,<=39,
2021-01-18,<=39,
2021-01-19,<=39,
2021-01-20,<=39,
2021-01-21,<=39,0.0
2021-01-22,<=39,0.0
2021-01-23,<=39,0.0
2021-01-24,<=39,0.0
2021-01-25,<=39,0.0
2021-01-26,<=39,0.0
2021-01-27,<=39,709.0
2021-01-28,<=39,4109.0
2021-01-29,<=39,5872.0
2021-01-30,<=39,5918.0
2021-01-31,<=39,5918.0
2021-02-01,<=39,5918.0
2021-02-02,<=39,5919.0
2021-02-03,<=39,5919.0
2021-02-04,<=39,5919.0
2021-02-05,<=39,5920.0
2021-02-06,<=39,5920.0
2021-02-07,<=39,5920.0
2021-02-08,<=39,6950.0
2021-02-09,<=39,7362.0
2021-02-10,<=39,7389.0
2021-02-11,<=39,7389.0
2021-02-12,<=39,7390.0
2021-02-13,<=39,7390.0
2021-02-14,<=39,7390.0
2021-02-15,<=39,7390.0
2021-02-16,<=39,7394.0
2021-02-17,<=39,7394.0
2021-02-18,<=39,8784.0
2021-02-19,<=39,9279.0
2021-02-20,<=39,9280.0
2021-02-21,<=39,9282.0
2021-02-22,<=39,16542.0
2021-02-23,<=39,28462.0
2021-02-24,<=39,33559.0
2021-02-25,<=39,35206.0
2021-02-26,<=39,35335.0
2021-02-27,<=39,35358.0
2021-02-28,<=39,35358.0
2021-03-01,<=39,35358.0
2021-03-02,<=39,35360.0
2021-03-03,<=39,35360.0
2021-03-04,<=39,35361.0
2021-03-05,<=39,35362.0
2021-03-06,<=39,35362.0
2021-03-07,<=39,35362.0
2021-03-08,<=39,35374.0
2021-03-09,<=39,35402.0
2021-03-10,<=39,35510.0
2021-03-11,<=39,35592.0
2021-03-12,<=39,35667.0
2021-03-13,<=39,35671.0
2021-03-14,<=39,35671.0
2021-03-15,<=39,35940.0
2021-03-16,<=39,43145.0
2021-03-17,<=39,102078.0
2021-03-18,<=39,150995.0
2021-03-19,<=39,193406.0
2021-03-20,<=39,197879.0
2021-03-21,<=39,198556.0
2021-03-22,<=39,229354.0
2021-03-23,<=39,264609.0
2021-03-24,<=39,302223.0
2021-03-25,<=39,339299.0
2021-03-26,<=39,371449.0
2021-03-27,<=39,376939.0
2021-03-28,<=39,377475.0
2021-03-29,<=39,408855.0
2021-03-30,<=39,443213.0
2021-03-31,<=39,473825.0
2021-04-01,<=39,501887.0
2021-04-02,<=39,524876.0
2021-04-03,<=39,527652.0
2021-04-04,<=39,527862.0
2021-04-05,<=39,549342.0
2021-04-06,<=39,565930.0
2021-04-07,<=39,574931.0
2021-04-08,<=39,582135.0
2021-04-09,<=39,591873.0
2021-04-10,<=39,592431.0
2021-04-11,<=39,592566.0
2021-04-12,<=39,616919.0
2021-04-13,<=39,655550.0
2021-04-14,<=39,697135.0
2021-04-15,<=39,731930.0
2021-04-16,<=39,732645.0
2021-04-17,<=39,732842.0
2021-04-18,<=39,732910.0
2021-04-19,<=39,756870.0
2021-04-20,<=39,770713.0
2021-04-21,<=39,783075.0
2021-04-22,<=39,796367.0
2021-04-23,<=39,809248.0
2021-04-24,<=39,810449.0
2021-04-25,<=39,810599.0
2021-04-26,<=39,832805.0
2021-04-27,<=39,885246.0
2021-04-28,<=39,953328.0
2021-04-29,<=39,1027875.0
2021-04-30,<=39,1095526.0
2021-05-01,<=39,1101619.0
2021-05-02,<=39,1102323.0
2021-05-03,<=39,1166852.0
2021-05-04,<=39,1235168.0
2021-05-05,<=39,1282239.0
2021-05-06,<=39,1332128.0
2021-05-07,<=39,1385195.0
2021-05-08,<=39,1389685.0
2021-05-09,<=39,1389924.0
2021-05-10,<=39,1428441.0
2021-05-11,<=39,1462494.0
2021-05-12,<=39,1495998.0
2021-05-13,<=39,1526426.0
2021-05-14,<=39,1537371.0
2021-05-15,<=39,1537953.0
2021-05-16,<=39,1538181.0
2021-05-17,<=39,1560617.0
2021-05-18,<=39,1583743.0
2021-05-19,<=39,1606604.0
